"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","China","general population",20536,2,"Yifan Yang","Chinese","Male",65,"Han",1,-2,"Teacher","Labor",NA,NA,"Urban","(Not specific religious) Ancestor","mdata",1,"temple",1,1,0.05,0.142857142857143
"study 2","China","general population",20537,2,"Yifan Yang","Chinese","Male",70,"Han",1,-1,"Reject to answer (Mother is housewife)","Teacher","Bachelors degree",NA,"Urban","Buddhism. Practice and has been vegetarian for 20 years","Parents: Buddhism (a little)",2,"Temple (been there a lot)",1,1,0.631578947368421,0.678571428571429
"study 2","China","general population",20538,2,"Yifan Yang","Chinese","Male",64,"Han",1,0,"Farmer (died when he was very little (7 years old because of Natural Disaster Period)","Employed, Electronic Information","Some college",NA,"Rural","Buddhism / Ancestors (a little bit believe)","Same",1,"Temple (travel)",1,1,0.466666666666667,0.464285714285714
"study 2","China","general population",20539,2,"Yifan Yang","Chinese","Male",26,"Han",1,-1,"Farmer Farmer","Computer Science",NA,NA,"Urban","Incline to Buddhism","Buddhism",0,"Temple (Mount Putuo)",1,1,0.2,0.0625
"study 2","China","general population",20540,2,"Yifan Yang","Chinese","Male",33,"Han",0,-2,"Farmer","contract worker","No HS degree",NA,"Urban","Reincarnation","Christianity",0,"Not really",0,0,0.1,0.21875
"study 2","China","general population",20541,2,"Yifan Yang","Chinese","Male",77,"Han",1,1,"Labor","Construction engineer","Some college",NA,"Urban","Atheist","Buddhism",-2,"Jingan Temple, every first and fifteenth of the month, free ticket",1,1,0,0
"study 2","China","general population",20542,2,"Yifan Yang","Chinese","Male",NA,"Han",1,NA,"Refuse to answer","Refuse to answer",NA,NA,"Urban","None","Missing Data",-2,"None",1,1,0,0
"study 2","China","general population",20543,2,"Yifan Yang","Chinese","Male",82,"Han",1,1,"Labor","teacher",NA,NA,"Urban","None","None",-2,"None",1,1,0.05,0
"study 2","China","general population",20544,2,"Yifan Yang","Chinese","Male",23,"Han",1,-1,"Farmer","Travel Management","Bachelors degree",NA,"Rural","None","None",-2,"None (for pleasure) occasionally go to temple",1,1,0.0526315789473684,0
"study 2","China","general population",20545,2,"Yifan Yang","Chinese","Female",32,"Han",1,-1,"Mom: Nurse, Dad: Civil servant","Environmental protection related","Bachelors degree",NA,"Urban","None","Possibly believe Buddhism, with no action, worship with rules",-1,"Only visit temple while traveling",1,1,0.1,0.03125
"study 2","China","general population",20552,2,"Xiaodiao Pu","Chinese","Female",54,"Han",1,1,"farmer","machine design",NA,NA,"Rural","Buddhism","Buddhism",2,"Not trans",1,1,0.275,0.15625
"study 2","China","general population",20553,2,"Xiaodiao Pu","Chinese","Female",70,"Han",1,1,"Worker","Accounting",NA,NA,"Urban","Buddhism","None",1,"None",1,1,0.05,0.21875
"study 2","China","general population",20554,2,"Xiaodiao Pu","Chinese","Female",55,"Han",1,0,"Farmer","Accounting",NA,NA,"Rural","Buddhism","None",2,"Temples",1,1,0.3,0.5625
"study 2","China","general population",20555,2,"Xiaodiao Pu","Chinese","Female",70,"Han",0,-1,"teachers","secondary school",NA,NA,"Urban","None","None",-2,"None",0,0,0,0
"study 2","China","general population",20556,2,"Xiaodiao Pu","Chinese","Female",48,"Han",1,1,"worker","language",NA,NA,"Urban","None","None",-1,"None",1,1,0,0
"study 2","China","general population",20557,2,"Xiaodiao Pu","Chinese","Female",50,"Han",1,0,"Teacher and nurse","Finance",NA,NA,"Urban","None","None",-1,"None",1,1,0.05,0
"study 2","China","general population",20558,2,"Xiaodiao Pu","Chinese","Female",58,"Han",1,0,"Mom: Teacher, Civil servant, Dad: Economic administration","Public administration",NA,NA,"Urban","None","None",-1,"None",1,1,0.05,0
"study 2","China","general population",20559,2,"Xiaodiao Pu","Chinese","Female",63,"Han",1,-1,"farmer & cook","accounting",NA,NA,"Rural","Buddhism","mdata",0,"temple (once/twice a year)",1,1,0.0526315789473684,0.03125
"study 2","China","general population",20560,1,"Tiange Zhang , Xiaodiao Pu OR Yifan Yang","Chinese","Male",47,"Han",1,0,"[Not translated]","[Not translated]","Other","[Not translated]","Rural","None","[Not translated]",1,"[Not translated]",1,1,0.075,0.125
"study 2","China","charismatic",20444,1,"Tiange Zhang","Chinese","Female",64,"Han",1,0,"Farmer","Downhole worker","No HS degree",NA,"Rural","Christian","Buddhism",2,"Church",1,1,0.1,0.0625
"study 2","China","charismatic",20457,1,"Yifan Yang","Chinese","Male",22,"Han",1,-1,"Doctor","Stomatologist",NA,NA,"Urban","True Jesus Church","True Jesus Church",2,"True Jesus Church",1,1,0.35,0.40625
"study 2","China","charismatic",20458,1,"Yifan Yang","Chinese","Female",25,"not trans",1,1,"Factory production","Data Analyst",NA,NA,"Urban","True Jesus Church","Not believe (any religion)",2,"True Jesus Church",1,1,0.55,1
"study 2","China","charismatic",20462,1,"Xiaodiao Pu","Chinese","Male",38,"Han",1,-1,"Father: technician in factory","Business administration",NA,NA,"Rural","Christian","Mother: Christian",1,"Church (in childhood)",1,1,0,0
"study 2","China","charismatic",20489,2,"Tiange Zhang","Chinese","Male",42,"Han",1,0,"Teacher, Labor","Doctor",NA,NA,"Urban","Christianity","Christianity",1,"Church",1,1,0.05,0.0357142857142857
"study 2","China","charismatic",20546,2,"Yifan Yang","Chinese","Female",50,"Han",1,2,"Company manager","Psychologist / hypnotist","Bachelors degree",NA,"Urban","True Jesus Church","Not religious",1,"True Jesus Church",1,1,0.35,0.375
"study 2","China","charismatic",20547,2,"Yifan Yang","Chinese","Male",31,"Han",1,0,"Doctor, Teacher","Doctor",NA,NA,"Urban","True Jesus Church","True Jesus Church",2,"True Jesus Church",1,1,0.375,0.5
"study 2","China","charismatic",20548,2,"Yifan Yang","Chinese","Male",34,"Han",0,0,"Father: Education, Mother: Accountant","Accountant","Bachelors degree",NA,"Urban","True Jesus Church","Mother: Buddhist",2,"True Jesus Church",0,0,0.325,0.65625
"study 2","China","charismatic",20549,2,"Yifan Yang","Chinese","Female",28,"Han",1,0,"Dad: Businessman, Mom: Housewife","Internet Network Operations",NA,NA,"Rural","True Jesus Church","Missing Data",2,"True Jesus Church",1,1,0.2,0.5
"study 2","China","charismatic",20550,2,"Yifan Yang","Chinese","Male",27,"Han",1,0,"Self-employed","Finance","Bachelors degree",NA,"Rural","True Jesus Church","Dad: None, Mom: True Jesus Church",2,"True Jesus Church",1,1,0.25,0.571428571428571
"study 2","China","charismatic",20551,2,"Yifan Yang","Chinese","Male",38,"Han",1,0,"Parents: Farmers","Restaurant","Bachelors degree",NA,"Rural","True Jesus Church","True Jesus Church",2,"mdata",1,1,0.315789473684211,0.642857142857143
"study 2","Vanuatu","general population",50801,1,"Polinda Lango","Bislama","Male",45,"Ni-Vanuatu",0,0,"Mom: housewife, Dad: farmer","RSC","Other","Class 6","Rural","Christian",NA,2,"SDA",0,0,0.75,1
"study 2","Vanuatu","general population",50803,1,"Polinda Lango","Bislama","Male",38,"Ni-Vanuatu",0,-2,"Mom: waitress, Dad: chief","Carpenter",NA,NA,"Rural","Christian",NA,2,"Presbyterian",0,0,0.35,0.666666666666667
"study 2","Vanuatu","general population",50805,1,"Polinda Lango","Bislama","Female",21,"Ni-Vanuatu",1,-2,"Stay at home","Baby sitter","Other","Yia 0","Rural","Christian",NA,2,"Catholic",1,1,0.4,0.4375
"study 2","Vanuatu","general population",50806,1,"Polinda Lango","Bislama","Female",27,"Ni-Vanuatu",1,-1,"Mom: housewife, Dad: RMS company","Lab technician","Other","University","Rural","Christian",NA,2,"Anglican",1,1,0.2,0.875
"study 2","Vanuatu","general population",50807,1,"Polinda Lango","Bislama","Male",43,"Ni-Vanuatu",1,-2,"Farmer","Teach","Other","Post grad University","Rural","Christian",NA,2,"Church of Christ",1,1,0.45,0.53125
"study 2","Vanuatu","general population",50807,1,"Polinda Lango","Bislama","Male",43,"Ni-Vanuatu",1,-2,"Farmer","Teach","Other","Post-grad University","Rural","Christian",NA,2,"Church of Christ",1,1,0.45,0.53125
"study 2","Vanuatu","general population",50808,1,"Polinda Lango","Bislama","Female",45,"Ni-Vanuatu",0,-1,"Gardener at home island","Nurse","Other","Yr 10","Rural","Christian",NA,1,"Presbyterian",0,0,0.473684210526316,0.9375
"study 2","Vanuatu","general population",50809,1,"Polinda Lango","Bislama","Male",51,"Ni-Vanuatu",0,-1,"Gardener","Gardener","Other","Year 7","Rural","Christian",NA,2,"Catholic",0,0,0.35,1
"study 2","Vanuatu","general population",50811,1,"Polinda Lango","Bislama","Male",26,"Ni-Vanuatu",0,-1,"Mom: housewife, Dad: ship","Teacher","Some college",NA,"Rural","Christian",NA,0,"Catholic",0,0,0.25,0.875
"study 2","Vanuatu","general population",50812,1,"Polinda Lango","Bislama","Male",25,"Ni-Vanuatu",0,0,"Islander","Teacher","Bachelors degree",NA,"Rural","Christian",NA,0,"Catholic",0,0,0.5,0.59375
"study 2","Vanuatu","general population",50813,1,"Polinda Lango","Bislama","Male",40,"Ni-Vanuatu",1,0,"Mom: housewife, Dad: cooperative inspector","Plumbing","Other","Year 10","Urban","Christian",NA,2,"Anglican",1,1,0.7,0.9375
"study 2","Vanuatu","general population",50814,1,"Polinda Lango","Bislama","Male",28,"Ni-Vanuatu",0,-1,"Mom: Financial officer, Dad: Carpenter","Baker","Other","Year 12","Urban","Christian",NA,2,"Anglican",0,0,0.85,0.9375
"study 2","Vanuatu","general population",50816,1,"Polinda Lango","Bislama","Male",27,"Ni-Vanuatu",1,-1,"Mom: Cleaner, Dad: Karo","Apple picking (RSC)","Other","Yr 10","Urban","Christian",NA,1,"Anglican",1,1,0.4,1
"study 2","Vanuatu","general population",50819,1,"Polinda Lango","Bislama","Male",28,"Ni-Vanuatu",0,-1,"Mom: housewife, Dad: says at home","Stay at home only","Other","Yr 11","Urban","Christian",NA,1,"Anglican",0,0,0.7,1
"study 2","Vanuatu","general population",50820,1,"Polinda Lango","Bislama","Female",37,"Ni-Vanuatu",0,-1,"All dead","House keeper","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",0,0,0.6,0.71875
"study 2","Vanuatu","general population",50821,1,"Polinda Lango","Bislama","Female",50,"Ni-Vanuatu",1,-1,"Gardeners","Housekeeper","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",1,1,0.7,0.8125
"study 2","Vanuatu","general population",50822,1,"Polinda Lango","Bislama","Male",25,"Ni-Vanuatu",1,-1,"Mom: housekeeper, Dad: stringband","Carpenter","Other","Class 6","Urban","Christian",NA,2,"Presbyterian",1,1,0.7,0.8125
"study 2","Vanuatu","general population",50823,1,"Polinda Lango","Bislama","Female",50,"Ni-Vanuatu",0,-1,"Gardner/Housekeeper","housekeeper","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",0,0,0.2,0.75
"study 2","Vanuatu","general population",50825,1,"Polinda Lango","Bislama","Male",34,"Ni-Vanuatu",0,-1,"House","Chef","Other","Class 12","Rural","Christian",NA,1,"Presbyterian",0,0,0.4,0.8125
"study 2","Vanuatu","general population",50832,1,"Polinda Lango","Bislama","Female",59,"Ni-Vanuatu",0,-1,"Mom: housewife, Dad: meteo","Housekeeper","Other","Yr 9","Rural","Christian",NA,2,"SDA",0,0,0.15,0.8125
"study 2","Vanuatu","general population",50833,1,"Polinda Lango","Bislama","Male",34,"Ni-Vanuatu",1,-1,"Parents dead","RSC Scheme","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",1,1,0.35,0.5
"study 2","Vanuatu","general population",50834,1,"Polinda Lango","Bislama","Female",53,"Ni-Vanuatu",0,-1,"Deceased?","Housewife","Other","Year 7","Rural","Christian",NA,2,"Jehova Witness",0,0,0.421052631578947,0.6875
"study 2","Vanuatu","general population",50835,1,"Polinda Lango","Bislama","Male",38,"Ni-Vanuatu",0,-1,"Farmer","Baker Bread","Other","Yr 7","Rural","Christian",NA,2,"LDS, The Church blong Jesus blong of Latter day Saints",0,0,0.75,0.875
"study 2","Vanuatu","general population",50836,1,"Polinda Lango","Bislama","Female",33,"Ni-Vanuatu",1,0,"Mom: housewife, Dad: farmer","Cashier","Other","Yr 12","Rural","Christian",NA,2,"LDS (Latter Day Saints)",1,1,0.75,0.8125
"study 2","Vanuatu","general population",50837,1,"Polinda Lango","Bislama","Male",27,"Ni-Vanuatu",0,-1,"Mom: Shopkeeper, Dad: Police","Carpenter","Other","Year 14","Rural","Christian",NA,2,"Presbyterian",0,0,0.6,0.75
"study 2","Vanuatu","general population",50838,1,"Polinda Lango","Bislama","Female",26,"Ni-Vanuatu",0,-1,"Self-employed","Volunteer","Other","Year 12","Rural","Christian",NA,2,"SDA (Seventh Day Adventist)",0,0,0.5,0.875
"study 2","Vanuatu","general population",50841,2,"Jill Hinge","Bislama","Male",34,"Ni-Vanuatu",1,0,"Retired","RSC","Other","Year 9","Rural","Christian",NA,2,"SDA",1,1,0.6,0.78125
"study 2","Vanuatu","general population",50842,2,"Jill Hinge","Bislama","Male",31,"Ni-Vanuatu",1,0,"Self-employed","Police Officer","Other","Year 10","Urban","Christian",NA,1,"Presbyterian",1,1,0.2,0.46875
"study 2","Vanuatu","general population",50843,2,"Jill Hinge","Bislama","Male",52,"Ni-Vanuatu",0,NA,"Gardener","Gardener","Other","Class 8","Rural","Christian",NA,2,"Anglican",0,0,1,1
"study 2","Vanuatu","general population",50845,2,"Jill Hinge","Bislama","Male",40,"Ni-Vanuatu",NA,NA,"Gardener","Gardener","Other","Class 6","Rural","Christian",NA,1,"Anglican",NA,NA,0.55,0.46875
"study 2","Vanuatu","general population",50846,2,"Jill Hinge","Bislama","Male",32,"Ni-Vanuatu",1,0,"Self-employed / gardener","Construction","Other","Year 9","Rural","Christian",NA,2,"Bahai Faith",1,1,0.95,0.46875
"study 2","Vanuatu","general population",50847,2,"Jill Hinge","Bislama","Male",24,"Ni-Vanuatu",0,NA,"Mom: gardener, Dad: deceased","self-employed","Other","Yr 11","Rural","Christian",NA,2,"Church of Christ",0,0,0.55,0.4375
"study 2","Vanuatu","general population",50848,2,"Jill Hinge","Bislama","Male",49,"Ni-Vanuatu",1,NA,"Gardening","Construction","Other","Class 6","Rural","Christian",NA,2,"Catholic",1,1,0.65,0.875
"study 2","Vanuatu","general population",50849,2,"Jill Hinge","Bislama","Female",42,"Ni-Vanuatu",1,-2,"Gardener","Tija","Some college",NA,"Rural","Christian",NA,2,"SDA / Sunday - Stream Pacific",1,1,0.684210526315789,0.53125
"study 2","Vanuatu","general population",50850,2,"Jill Hinge","Bislama","Male",22,"Ni-Vanuatu",0,NA,"Mom: Housewife, Dad: Vila handprint","School - VIT","Other","Year 10","Urban","Christian",NA,2,"Presbyterian",0,0,0.45,0.71875
"study 2","Vanuatu","general population",50851,2,"Jill Hinge","Bislama","Male",27,"Ni-Vanuatu",0,NA,"employed/rate electrics/santo engineer","unemployed","Other","Yr 12","Urban","Christian",NA,1,"Presbyterian",0,0,0.157894736842105,0.4375
"study 2","Vanuatu","general population",50853,2,"Jill Hinge","Bislama","Male",27,"Ni-Vanuatu",1,2,"Tija","Dept. Public works","Some college",NA,"Rural","Christian",NA,2,"Anglican",1,1,0.45,0.96875
"study 2","Vanuatu","general population",50854,2,"Jill Hinge","Bislama","Female",52,"Ni-Vanuatu",1,NA,"Deceased","Baby sitter","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",1,1,0.15,0
"study 2","Vanuatu","general population",50855,2,"Jill Hinge","Bislama","Female",55,"Ni-Vanuatu",1,NA,"deceased","house wife","Other","Class 6","Rural","Christian",NA,2,"SDA",1,1,0.2,0.8125
"study 2","Vanuatu","general population",50856,2,"Jill Hinge","Bislama","Male",25,"Ni-Vanuatu",1,NA,"Gardener","self employed (kava)","Other","Yr 10","Rural","Christian",NA,1,"Presbyterian",1,1,0.4,0.7
"study 2","Vanuatu","general population",50857,2,"Jill Hinge","Bislama","Female",48,"Ni-Vanuatu",1,-2,"Tufala stap nomo lo house","Cleaner","Other","Class 6","Rural","Christian",NA,2,"Catholic",1,1,0.45,0.59375
"study 2","Vanuatu","general population",50858,2,"Jill Hinge","Bislama","Male",20,"Ni-Vanuatu",1,NA,"Self-employed","Unemployed","Other","Class 6","Rural","Christian",NA,1,"Presbyterian",1,1,0.85,0.59375
"study 2","Vanuatu","general population",50859,2,"Jill Hinge","Bislama","Female",43,"Ni-Vanuatu",1,NA,"gardener","Self employed","Other","Class 6","Rural","Christian",NA,2,"Anglican",1,1,0.7,0.8125
"study 2","Vanuatu","general population",50860,2,"Jill Hinge","Bislama","Female",24,"Ni-Vanuatu",1,NA,"Gardener","unemployed","Other","Yr 10","Rural","Christian",NA,NA,"Presbyterian",1,1,0.15,0.4375
"study 2","Vanuatu","general population",50861,2,"Jill Hinge","Bislama","Female",41,"Ni-Vanuatu",1,1,"Diceased","Teacher / VIT","Other","Year 12","Rural","Christian",NA,1,"Jehovah's Witness, JW",1,1,0.2,0.375
"study 2","Vanuatu","general population",50862,2,"Jill Hinge","Bislama","Female",35,"Ni-Vanuatu",0,NA,"Gardener","Self-employed","Other","Year 7","Rural","Christian",NA,2,"Presbyterian",0,0,0.6,0.46875
"study 2","Vanuatu","general population",50864,2,"Jill Hinge","Bislama","Male",51,"Ni-Vanuatu",1,NA,"deceased","self employed","Other","Yr 8","Urban","Christian",NA,2,"Presbyterian",1,1,0.5,0.75
"study 2","Vanuatu","general population",50865,2,"Jill Hinge","Bislama","Female",46,"Ni-Vanuatu",0,NA,"Gardener","Gardener","Other","Year 9","Rural","Christian",NA,2,"SDA",0,0,0.3,0.96875
"study 2","Vanuatu","general population",50866,2,"Jill Hinge","Bislama","Female",22,"Ni-Vanuatu",0,NA,"Unemployed","Unemployed","Other","Year 10","Rural","Christian",NA,2,"SDA",0,0,0.15,0.5625
"study 2","Vanuatu","general population",50867,2,"Jill Hinge","Bislama","Male",51,"Ni-Vanuatu",1,-2,"Carpenter/Housekeeper","Road constructor","Other","Class 6","Rural","Christian",NA,1,"Catholic",1,1,0.333333333333333,0.78125
"study 2","Vanuatu","general population",50868,2,"Jill Hinge","Bislama","Male",40,"Ni-Vanuatu",0,-2,"Priest / housewife","Police officer","Other","Yr 10","Urban","Christian",NA,1,"Anglican",0,0,0.6,0.75
"study 2","Vanuatu","general population",50870,2,"Jill Hinge","Bislama","Male",22,"Ni-Vanuatu",NA,NA,"Well employed","Student lo USP","Other","USP","Urban","Christian",NA,2,"Catholic",NA,NA,0.55,0.65625
"study 2","Vanuatu","general population",50871,2,"Jill Hinge","Bislama","Male",35,"Ni-Vanuatu",0,0,"presser/housekeeper","Ministry of Health/MalaRia project","Other","Yr 12 VIT","Rural","Christian",NA,2,"Presbyterian",0,0,0.55,0.5625
"study 2","Vanuatu","general population",50872,2,"Jill Hinge","Bislama","Male",49,"Ni-Vanuatu",NA,NA,"Gardener","Gardener/village","Other","Yr 7","Rural","Christian",NA,2,"SDA",NA,NA,0.65,0.875
"study 2","Vanuatu","general population",50873,2,"Jill Hinge","Bislama","Male",46,"Ni-Vanuatu",1,-1,"Nurse / Police","Tija","Other","Year 14 / Lycess","Rural","Christian",NA,2,"Church of Christ",1,1,0.611111111111111,0.863636363636364
"study 2","Vanuatu","general population",50874,2,"Jill Hinge","Bislama","Male",30,"Ni-Vanuatu",1,0,"Carpenter / Housegirl","Hardware","Other","Year 9","Rural","Christian",NA,2,"Presbyterian",1,1,0.95,0.65625
"study 2","Vanuatu","general population",50875,2,"Jill Hinge","Bislama","Male",42,"Ni-Vanuatu",1,0,"Gardener","Difieel?","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",1,1,0.6,0.625
"study 2","Vanuatu","general population",50881,1,"Polinda Lango","Bislama","Female",39,"Ni-Vanuatu",0,-1,"Parents-Farmer","Housewife","Other","Year 8","Rural","Christian",NA,1,"Church of Christ",0,0,0.35,0.8125
"study 2","Vanuatu","general population",50882,1,"Polinda Lango","Bislama","Female",54,"Ni-Vanuatu",0,-1,"Parents farmer","Housewife","Other","Yr 9","Rural","Christian",NA,2,"St Peter Church",0,0,0.315789473684211,0.71875
"study 2","Vanuatu","general population",50883,1,"Polinda Lango","Bislama","Male",23,"Ni-Vanuatu",1,0,"Mom: housewife, Dad: VMF","Stays at home",NA,NA,"Urban","Christian",NA,2,"Church of Christ",1,1,0.2,0.71875
"study 2","Vanuatu","general population",50890,2,"Jill Hinge","Bislama","Male",25,"Ni-Vanuatu",NA,NA,"RSC","Self-employed","Other","Year 10","Urban","Christian",NA,1,"PMC - Presbyterian",NA,NA,0.15,0.71875
"study 2","Vanuatu","general population",50892,2,"Jill Hinge","Bislama","Male",35,"Ni-Vanuatu",1,2,"Company Consultant","Hospital / Dr.","Other","Yr 13","Urban","Christian",NA,1,"Presbyterian",1,1,0.35,0.5625
"study 2","Vanuatu","general population",50893,2,"Jill Hinge","Bislama","Male",30,"Ni-Vanuatu",NA,NA,"Mom: Agriculture dept., Dad: VMF","Self-employed","Other","Year 10","Rural","Christian",NA,1,"Presbyterian",NA,NA,0.3,0.53125
"study 2","Vanuatu","general population",50895,2,"Jill Hinge","Bislama","Female",33,"Ni-Vanuatu",1,0,"Mom: housewife, Dad: Tija","Tija","Other","Yr 14","Rural","Christian",NA,2,"Evangelic church",1,1,0.2,0.8125
"study 2","Vanuatu","general population",50896,2,"Jill Hinge","Bislama","Female",23,"Ni-Vanuatu",NA,NA,"Mom: housewife, Dad: forestry","self employed","Other","Yr 10","Rural","Christian",NA,2,"Presbyterian",NA,NA,0.4,0.625
"study 2","Vanuatu","general population",50897,2,"Jill Hinge","Bislama","Male",28,"Ni-Vanuatu",NA,NA,"Fisheries Dept.","Self-employed","Other","Year 9","Urban","Christian",NA,2,"Catholic",NA,NA,0.35,0.65625
"study 2","Vanuatu","general population",50898,2,"Jill Hinge","Bislama","Male",23,"Ni-Vanuatu",NA,NA,"Tija / housekeeper","Self-employed","Other","Year 13","Rural","Christian",NA,2,"SDA",NA,NA,0.4,0.78125
"study 2","Vanuatu","general population",50899,2,"Jill Hinge","Bislama","Male",21,"Ni-Vanuatu",NA,NA,"Mom: Taylor, Dad: IT","self-employed","Other","Yr 13","Urban","Christian",NA,2,"Malasitabu Presbyterian",NA,NA,0.6,0.78125
"study 2","Vanuatu","general population",50900,2,"Jill Hinge","Bislama","Male",21,"Ni-Vanuatu",1,0,"Mom: Tija, Dad: save the children","shop keeper","Other","Yr 12","Rural","Christian",NA,1,"SDA",1,1,0.8,0.90625
"study 2","Vanuatu","general population",50901,2,"Jill Hinge","Bislama","Female",39,"Ni-Vanuatu",0,-1,"Farmers","Tija","Some college",NA,"Rural","Christian",NA,2,"SDA",0,0,0.25,0.75
"study 2","Vanuatu","general population",50902,2,"Jill Hinge","Bislama","Female",55,"Ni-Vanuatu",NA,NA,"Gardeners","Caregiver","Other","Class 6","Urban","Christian",NA,2,"Presbyterian",NA,NA,0.45,0.766666666666667
"study 2","Vanuatu","general population",50903,2,"Jill Hinge","Bislama","Male",30,"Ni-Vanuatu",NA,NA,"self employed","Gardener","Other","Yr 12","Rural","Christian",NA,1,"Presbyterian",NA,NA,0.2,0.78125
"study 2","Vanuatu","general population",50904,2,"Jill Hinge","Bislama","Female",20,"Ni-Vanuatu",NA,NA,"Self-employed","Self-employed","Other","Yr 11","Rural","Christian",NA,1,"Catholic",NA,NA,0.05,0.53125
"study 2","Vanuatu","general population",50905,2,"Jill Hinge","Bislama","Female",49,"Ni-Vanuatu",1,-1,"Gardener","Librarian","Other","Year 14","Rural","Christian",NA,2,"SDA",1,1,0.5,0.65625
"study 2","Vanuatu","general population",50906,2,"Jill Hinge","Bislama","Female",24,"Ni-Vanuatu",NA,NA,"Farmers","Self-employed","Other","Year 7","Rural","Christian",NA,2,"SDA",NA,NA,0.25,0.5
"study 2","Vanuatu","general population",50909,2,"Jill Hinge","Bislama","Male",62,"Ni-Vanuatu",NA,NA,"Gardener","Private Constructor","Other","Class 6","Rural","Christian",NA,2,"Presbyterian",NA,NA,0.5,0.90625
"study 2","Vanuatu","general population",50910,2,"Jill Hinge","Bislama","Female",23,"Ni-Vanuatu",NA,NA,"Farmer","Self-employed","Other","Year 11","Rural","Christian",NA,2,"Presbyterian",NA,NA,0.3,0.65625
"study 2","Vanuatu","general population",50911,2,"Jill Hinge","Bislama","Female",23,"Ni-Vanuatu",NA,NA,"tourism - market","self-employed","Other","Yr 10","Rural","Christian",NA,1,"Presbyterian",NA,NA,0.4,0.65625
"study 2","Vanuatu","general population",50912,2,"Jill Hinge","Bislama","Male",40,"Ni-Vanuatu",0,0,"Gardener","driver","Other","Yr 10","Urban","Christian",NA,2,"Catholic",0,0,0.4,0.25
"study 2","Vanuatu","general population",50913,2,"Jill Hinge","Bislama","Male",22,"Ni-Vanuatu",NA,NA,"Self-employed","Self-employed","Other","Year 12","Rural","Christian",NA,2,"Presbyterian",NA,NA,0.45,0.90625
"study 2","Vanuatu","general population",50914,2,"Jill Hinge","Bislama","Male",27,"Ni-Vanuatu",NA,NA,"Farming","Self-employed","Other","Year 13","Urban","Christian",NA,2,"Anglican",NA,NA,0.3,0.71875
"study 2","Vanuatu","general population",50916,2,"Jill Hinge","Bislama","Male",20,"Ni-Vanuatu",0,0,"Farmer","Supermarket","Other","Yr 10","Rural","Christian",NA,1,"Presbyterian",0,0,0.4,0.59375
"study 2","Vanuatu","general population",50918,2,"Jill Hinge","Bislama","Male",21,"Ni-Vanuatu",NA,NA,"Farmers","Self-employed","Other","Year 11","Rural","Christian",NA,2,"Presbyterian",NA,NA,0.4,0.8125
"study 2","Vanuatu","general population",50919,2,"Jill Hinge","Bislama","Male",25,"Ni-Vanuatu",NA,NA,"Gardener","Dad: Self employed","Other","Yr 10","Rural","Christian",NA,1,"Presbyterian",NA,NA,0.0526315789473684,0.53125
"study 2","Vanuatu","general population",50921,2,"Jill Hinge","Bislama","Male",24,"Ni-Vanuatu",1,0,"Mom: Lands dept., Dad: VMF","Electrician","Other","Year 12","Urban","Christian",NA,2,"Presbyterian",1,1,0.5,0.875
"study 2","Vanuatu","general population",50922,2,"Jill Hinge","Bislama","Male",34,"Ni-Vanuatu",NA,NA,"Gardeners","Gardener / Self-employed","Other","Year 10","Rural","Christian",NA,2,"Anglican",NA,NA,0.5,0.84375
"study 2","Vanuatu","general population",50923,2,"Jill Hinge","Bislama","Male",37,"Ni-Vanuatu",0,NA,"Mom: care giver, Dad: Carpenter","Construction","Other","Yr 12","Rural","Christian",NA,2,"Presbyerian",0,0,0.45,0.75
"study 2","Vanuatu","general population",50925,2,"Jill Hinge","Bislama","Female",20,"Ni-Vanuatu",NA,NA,"RSC","Self-employed","Other","Year 11","Rural","Christian",NA,1,"Catholic",NA,NA,0.35,0.78125
"study 2","Vanuatu","general population",50927,2,"Jill Hinge","Bislama","Male",40,"Ni-Vanuatu",1,-1,"Dad: Driver","Driver","Other","Yr 13","Urban","Christian",NA,2,"Presbyterian",1,1,0.25,0.5
"study 2","Vanuatu","general population",50929,2,"Jill Hinge","Bislama","Male",21,"Ni-Vanuatu",NA,NA,"Politics / Skylanders","Self-employed","Other","Year 13","Urban","Christian",NA,-1,"Anglican",NA,NA,0.35,0.65625
"study 2","Vanuatu","general population",50930,2,"Jill Hinge","Bislama","Male",30,"Ni-Vanuatu",0,2,"Farmers","Aubomuche (Supermarket)","Other","Year 11","Rural","Christian",NA,2,"Anglican",0,0,0.1,0.34375
"study 2","Vanuatu","general population",50931,2,"Jill Hinge","Bislama","Male",24,"Ni-Vanuatu",1,1,"Mom: housekeeping, Dad: chef","Car wash","Other","Yr 10","Rural","Christian",NA,-1,"Presbyterian",1,1,0.45,0.59375
